fold,test_loss,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.949402509246674,0.8093139780743057,0.8491921005385996,0.2733314071077723,0.413551912568306,0.7204271662005192,0.5728685927624587
2,1.4513796351626669,0.5936090709960057,0.09721828562173543,0.638563829787234,0.16874582703728433,0.6937164851364725,0.4862262893406946
3,0.2306027504728804,0.937281785978236,0.8504489188758434,0.7779937791601866,0.8126094570928196,0.9082552199858975,0.8602953211815976
4,0.18593139833427394,0.944287377349077,0.8262239138994619,0.5553105151729005,0.6642046953310473,0.9434482923686407,0.7675685698176801
5,1.0251222401737046,0.8329007606070438,0.5369152046783626,0.37566489361702127,0.442043813192104,0.6579782852542467,0.49507044544607176
