experiment,accuracy,precision,recall,f1,roc_auc,pr_auc
Patient + Feature Fusion,0.8371297160164527,0.3944561266176244,0.407772136409506,0.3372643429112287,0.7559101749318196,0.4142637194173709
Patient + Input Fusion,0.8706712159885776,0.3246717133617053,0.3466159430430653,0.3103658334882849,0.6974724984669283,0.3322413444593508
Seizure + Feature Fusion,0.8550294183277535,0.7097860693520129,0.6140743145301807,0.6537311469558206,0.8395703036351222,0.7053699391677233
Seizure + Input Fusion,0.7802401396065798,0.6623091441236969,0.3836442183642147,0.4408067370388338,0.8152828424223427,0.6335699533178485
