epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.17295433774078525,0.38057068785845954,0.9355621276195368,0.9477795966337174,0.9215069122073152,0.9344586240966721,0.9804809294231336,0.9827539134477559,0.8436932667127227,0.6632586469436589,0.6427065767284992,0.6528208971202226,0.8778524173054355,0.748960132922759
2,0.10376927810322363,0.28580115872738515,0.9631809015707685,0.9685008138792162,0.9574093216757222,0.9629231293196385,0.9927693765967954,0.9931947526828496,0.9083913050463506,0.8583431356074609,0.7178189994378864,0.7818167903880002,0.9194115619454315,0.860365218398891
3,0.08632993296132413,0.3012975111762661,0.9690449005332527,0.9721731471381971,0.9657194888698979,0.9689355718707814,0.9950084126936534,0.995230592257643,0.9068328968719374,0.8903082477089698,0.6758010118043845,0.7683642899940084,0.9074173539359756,0.8494227902411786
4,0.07929562003286045,0.4197751055778264,0.9718268670835378,0.9741290682270382,0.9693544118245857,0.9717358749531227,0.9957639465029078,0.9958979390488925,0.8742509197821442,0.8912645082467929,0.5125772906127037,0.650845340589731,0.9047232414440249,0.80626063090938
5,0.07422546310613042,0.37449683208579054,0.9731619058759508,0.9743422194541723,0.9718516406297737,0.9730953364230105,0.9963127348574551,0.9963594295806927,0.901643558311778,0.8998225202129757,0.6412310286677909,0.7488307212603594,0.9104053588454744,0.8428631257985202
6,0.07141306162008645,0.4903434282231354,0.9746825786337848,0.9757132607733289,0.9736819388941641,0.9746965414879124,0.9965454933183473,0.9965955310370853,0.8817859036357502,0.9236932938856016,0.5264896008993817,0.6706945936269245,0.8688071226041989,0.7924842315211614
7,0.0692710226024764,0.36108886501230164,0.9755446322540287,0.9767444235118729,0.9742226567671891,0.9754819103561331,0.9967287973561741,0.996775751048987,0.9016274922481243,0.9566392611780606,0.5968240584598089,0.7350612262558954,0.9346629348302922,0.8804595196956131
8,0.06691702143107607,0.5109511456744,0.9764117717363388,0.9773605292396766,0.9754117539344246,0.9763851691937964,0.9969325969797023,0.9969683986861512,0.8881641309062867,0.9154382356302136,0.5628864530635188,0.6971239611887048,0.8675483952882308,0.7979939867048902
9,0.0661660580031148,0.4914863076269448,0.9765516329431629,0.9773465427433358,0.9756077667725278,0.976476380714765,0.9970052246751576,0.9969603071023951,0.8780585768680815,0.9046052631578947,0.5217116357504216,0.661764705882353,0.8803505837130798,0.7961780277876427
